ac_no,ac_name,winner_party,runnerup_party,victory_margin,total_eligible_voters_2021,total_eligible_voters_2025,removed_voters_2025,not_voted_2021,risk_level
27,Shozhinganallur,DMK,ADMK,35405,698893,484011,214882,310538,High Impact
30,Pallavaram,DMK,ADMK,37783,436239,294712,141527,170049,High Impact
7,Maduravoyal,DMK,ADMK,31721,452195,325407,126788,178325,High Impact
26,Velachery,INC,ADMK,4352,314578,189999,124579,137864,High Impact
21,Anna Nagar,DMK,ADMK,27445,286090,162135,123955,120994,Critical Impact
28,Alandur,DMK,ADMK,40571,389118,267271,121847,151367,High Impact
31,Tambaram,DMK,ADMK,36824,415663,294355,121308,166695,High Impact
22,Virugampakkam,DMK,ADMK,18367,291691,175123,116568,122604,High Impact
12,Perambur,DMK,ADMK,54976,315942,200181,115761,115555,Critical Impact
14,Villivakkam,DMK,ADMK,37237,255328,142706,112622,111236,Critical Impact
24,Thiyagarayanagar,DMK,ADMK,137,245040,139498,105542,106926,High Impact
20,Thousand Lights,DMK,BJP,32462,240096,141393,98703,104156,High Impact
13,Kolathur,DMK,ADMK,70384,281197,186841,94356,107809,High Impact
23,Saidapet,DMK,ADMK,29408,279033,186489,92544,118706,High Impact
114,Tiruppur (South),DMK,ADMK,4709,276483,185282,91201,102065,High Impact
32,Chengalpattu,DMK,ADMK,26665,428440,339232,89208,154353,High Impact
25,Mylapore,DMK,ADMK,12633,270568,181592,88976,117138,High Impact
117,Kavundampalayam,ADMK,DMK,9776,465345,377740,87605,155427,High Impact
11,Dr.Radhakrishnan Nagar,DMK,ADMK,42479,262980,178356,84624,75953,Critical Impact
115,Palladam,ADMK,DMK,32691,389786,306290,83496,128275,High Impact
19,Chepauk-Thiruvallikeni,DMK,PMK,69355,234067,150846,83221,96662,High Impact
10,Thiruvottiyur,DMK,ADMK,37661,306005,222806,83199,106009,High Impact
113,Tiruppur (North),ADMK,CPI,40102,379139,296011,83128,141047,High Impact
8,Ambattur,DMK,ADMK,42146,384377,304511,79866,144078,High Impact
120,Coimbatore (South),BJP,MNM,1728,252790,179308,73482,98025,High Impact
121,Singanallur,ADMK,DMK,10854,325289,254422,70867,123268,High Impact
16,Egmore,DMK,ADMK,38768,193162,122607,70555,73891,High Impact
9,Madavaram,DMK,ADMK,57071,454474,386327,68147,151774,High Impact
18,Harbour,DMK,BJP,27274,175785,110517,65268,74135,High Impact
98,Erode (East),INC,ADMK,8904,228425,165510,62915,76388,High Impact
99,Erode (West),DMK,ADMK,22089,293099,230723,62376,87520,High Impact
192,Madurai South,DMK,ADMK,6515,230133,168098,62035,82300,High Impact
118,Coimbatore (North),ADMK,DMK,4001,338712,278531,60181,135913,High Impact
88,Salem (West),PMK,DMK,21499,299693,243941,55752,83065,High Impact
43,Vellore,DMK,ADMK,9181,253536,198722,54814,73637,High Impact
193,Madurai Central,DMK,ADMK,34176,241913,187249,54664,92483,High Impact
119,Thondamuthur,ADMK,DMK,41630,326828,272946,53882,96297,High Impact
174,Thanjavur,DMK,ADMK,47149,290936,237581,53355,96077,High Impact
194,Madurai West,ADMK,DMK,9121,307141,254927,52214,105447,High Impact
46,Gudiyattam,DMK,ADMK,6901,290135,238505,51630,78505,High Impact
89,Salem (North),DMK,ADMK,7588,276022,224423,51599,73646,High Impact
127,Palani,DMK,ADMK,30056,277298,227090,50208,71914,High Impact
142,Thiruverumbur,DMK,ADMK,49697,293196,243304,49892,96183,High Impact
125,Udumalaipettai,ADMK,INC,21895,269760,220317,49443,75402,High Impact
132,Dindigul,ADMK,CPI(M),17747,276820,228223,48597,81702,High Impact
205,Sivakasi,INC,ADMK,17319,261809,214544,47265,76762,High Impact
90,Salem (South),ADMK,DMK,22609,260403,213328,47075,60421,High Impact
102,Kangayam,DMK,ADMK,7331,257190,210466,46724,57372,High Impact
17,Royapuram,DMK,ADMK,27779,192635,146865,45770,71444,High Impact
97,Kumarapalayam,ADMK,DMK,31646,254468,209347,45121,52543,High Impact
101,Dharapuram,DMK,BJP,1393,258581,215158,43423,64590,High Impact
122,Kinathukadavu,ADMK,DMK,1095,326920,283621,43299,94485,High Impact
37,Kancheepuram,DMK,PMK,11595,309192,267313,41879,79762,High Impact
126,Madathukulam,ADMK,DMK,6438,248501,206878,41623,66599,High Impact
85,Mettur,PMK,DMK,656,286849,245596,41253,68407,High Impact
139,Srirangam,DMK,ADMK,19915,311716,271539,40177,71476,High Impact
100,Modakkurichi,BJP,DMK,281,238932,198932,40000,57075,High Impact
3,Tiruttani,DMK,ADMK,29253,291336,252154,39182,58712,High Impact
153,Neyveli,DMK,PMK,977,218666,179955,38711,54536,High Impact
202,Rajapalayam,DMK,ADMK,3898,239461,201901,37560,60753,High Impact
124,Valparai,ADMK,CPI,12223,205530,168251,37279,60358,High Impact
228,Radhapuram,DMK,ADMK,5925,270760,233695,37065,83450,High Impact
203,Srivilliputhur,ADMK,INC,12738,250640,213665,36975,65601,High Impact
4,Thiruvallur,DMK,ADMK,22701,274982,238818,36164,60739,High Impact
233,Vilavancode,INC,BJP,28669,250065,214360,35705,82229,High Impact
38,Arakkonam,ADMK,VCK,27169,227320,191800,35520,55908,High Impact
218,Kovilpatti,ADMK,AMMKMNKZ,12403,266625,231529,35096,85697,High Impact
191,Madurai North,DMK,BJP,22916,243596,208749,34847,87040,High Impact
204,Sattur,DMK,ADMK,11179,253363,218801,34562,61580,High Impact
131,Natham,ADMK,DMK,11932,283531,249023,34508,58287,High Impact
40,Katpadi,DMK,ADMK,746,250228,215751,34477,63982,High Impact
82,Attur,ADMK,DMK,8257,254705,220568,34137,54962,High Impact
227,Nanguneri,INC,ADMK,16486,277865,244216,33649,85343,High Impact
107,Bhavanisagar,ADMK,CPI,16008,260249,226889,33360,59682,High Impact
206,Virudhunagar,DMK,BJP,21339,224099,190824,33275,62382,High Impact
138,Manapparai,DMK,ADMK,12243,289713,256674,33039,67965,High Impact
221,Kadayanallur,ADMK,IUML,24349,290432,257443,32989,85058,High Impact
130,Nilakkottai,ADMK,DMK,27618,244534,211788,32746,59729,High Impact
128,Oddanchatram,DMK,ADMK,28742,241240,209156,32084,39484,High Impact
186,Sivaganga,ADMK,CPI,11253,301163,269088,32075,99119,High Impact
197,Usilampatti,ADMK,DMK,7477,286453,254442,32011,73940,High Impact
48,Ambur,DMK,ADMK,20232,238473,206486,31987,60595,High Impact
163,Nagapattinam,VCK,ADMK,7238,197960,165979,31981,54400,High Impact
34,Cheyyur,VCK,ADMK,4042,227468,195861,31607,48348,High Impact
67,Arani,ADMK,DMK,3128,277727,246208,31519,56305,High Impact
41,Ranipet,DMK,ADMK,16498,267260,235960,31300,59798,High Impact
158,Chidambaram,ADMK,IUML,16937,251100,220106,30994,67748,High Impact
123,Pollachi,ADMK,DMK,1725,227093,196375,30718,49785,High Impact
196,Thirumangalam,ADMK,DMK,14087,279598,249282,30316,59103,High Impact
96,Tiruchengodu,DMK,ADMK,2862,231133,200947,30186,46464,High Impact
171,Kumbakonam,DMK,ADMK,21383,273097,243129,29968,75533,High Impact
94,Namakkal,DMK,ADMK,27861,257854,227922,29932,51095,High Impact
133,Vedasandur,DMK,ADMK,17553,263561,233850,29711,50481,High Impact
199,Periyakulam,DMK,ADMK,21321,285471,255981,29490,83674,High Impact
198,Andipatti,DMK,ADMK,8538,278344,249035,29309,68804,High Impact
44,Anaikattu,DMK,ADMK,6360,256727,227645,29082,58922,High Impact
39,Sholinghur,INC,PMK,26698,278034,248967,29067,53925,High Impact
209,Paramakudi,DMK,ADMK,13285,256158,227237,28921,74000,High Impact
224,Tirunelveli,BJP,DMK,23107,292411,263685,28726,94824,High Impact
135,Karur,DMK,ADMK,12448,245356,216777,28579,38046,High Impact
2,Ponneri,INC,ADMK,9689,267368,239141,28227,57014,High Impact
180,Pudukkottai,DMK,ADMK,13001,244029,215915,28114,64137,High Impact
187,Manamadurai,DMK,ADMK,14091,278605,251054,27551,75544,High Impact
230,Nagercoil,BJP,DMK,11669,270845,243329,27516,86660,High Impact
81,Gangavalli,ADMK,DMK,7361,239024,211583,27441,52521,High Impact
68,Cheyyar,DMK,ADMK,12271,259890,232720,27170,45430,High Impact
111,Mettuppalayam,ADMK,DMK,2456,296937,269898,27039,71854,High Impact
225,Ambasamudram,ADMK,DMK,16915,245003,218010,26993,67322,High Impact
55,Hosur,DMK,ADMK,12367,351771,324791,26980,103673,High Impact
42,Arcot,DMK,PMK,19958,262476,235816,26660,52685,High Impact
162,Poompuhar,DMK,ADMK,3299,275903,249516,26387,68065,High Impact
155,Cuddalore,DMK,ADMK,5151,239474,213392,26082,57473,High Impact
200,Bodinayakanur,ADMK,DMK,11021,278815,252964,25851,64020,High Impact
219,Sankarankovil,DMK,ADMK,5297,254243,228521,25722,70905,High Impact
157,Bhuvanagiri,ADMK,DMK,8259,248629,223530,25099,51464,High Impact
104,Bhavani,ADMK,DMK,22523,238721,214272,24449,37336,High Impact
152,Vriddhachalam,INC,PMK,862,252911,228537,24374,56177,High Impact
184,Karaikudi,INC,BJP,21589,317276,293489,23787,104820,High Impact
36,Uthiramerur,DMK,ADMK,1622,260462,237024,23438,49933,High Impact
146,Thuraiyur,DMK,ADMK,22071,226152,202720,23432,50276,High Impact
108,Udhagamandalam,INC,BJP,5348,206039,182624,23415,64937,High Impact
73,Vanur,ADMK,VCK,21727,226608,203683,22925,44400,High Impact
103,Perundurai,ADMK,DMK,14507,227887,204985,22902,38044,High Impact
95,Paramathi-Velur,ADMK,DMK,7662,221664,198862,22802,37967,High Impact
33,Thiruporur,VCK,PMK,1947,294620,271976,22644,67891,High Impact
93,Senthamangalam,DMK,ADMK,10493,243556,221051,22505,44321,High Impact
87,Sankari,ADMK,DMK,20045,274307,251866,22441,42060,High Impact
212,Mudhukulathur,DMK,ADMK,20721,310954,288663,22291,89758,High Impact
222,Tenkasi,INC,ADMK,370,292538,270465,22073,78430,High Impact
92,Rasipuram,DMK,ADMK,1952,236580,214825,21755,39676,High Impact
35,Madurantakam,ADMK,DMK,3570,226715,205344,21371,40873,High Impact
105,Anthiyur,DMK,ADMK,1275,219615,199285,20330,43230,High Impact
161,Mayiladuthurai,INC,PMK,2742,246064,225840,20224,71424,High Impact
220,Vasudevanallur,DMK,ADMK,2367,241748,221596,20152,65867,High Impact
45,Kilvaithinankuppam,ADMK,DMK,10582,227241,207382,19859,53117,High Impact
160,Sirkazhi,DMK,ADMK,12148,252621,232766,19855,61296,High Impact
229,Kanniyakumari,ADMK,DMK,16210,293657,274069,19588,68536,High Impact
110,Coonoor,DMK,ADMK,4105,192118,172652,19466,56210,High Impact
217,Ottapidaram,DMK,ADMK,8510,251597,232536,19061,73757,High Impact
65,Kalasapakkam,DMK,ADMK,9222,243655,225039,18616,47221,High Impact
72,Tindivanam,ADMK,DMK,9753,230570,212097,18473,48032,High Impact
66,Polur,ADMK,DMK,9725,245195,227178,18017,43183,High Impact
210,Tiruvadanai,INC,ADMK,13852,291236,273439,17797,89421,High Impact
71,Mailam,PMK,DMK,2230,220324,202528,17796,43335,High Impact
52,Bargur,DMK,ADMK,12614,248335,230617,17718,50551,High Impact
216,Srivaikuntam,INC,ADMK,17372,224689,207054,17635,60303,High Impact
47,Vaniyambadi,ADMK,IUML,4904,250220,232804,17416,60223,High Impact
169,Nannilam,ADMK,DMK,4424,272305,255800,16505,50361,High Impact
62,Chengam,DMK,ADMK,11570,275419,259604,15815,51469,High Impact
223,Alangulam,ADMK,DMK,3539,260688,245164,15524,57210,High Impact
54,Veppanahalli,ADMK,DMK,3054,252085,236780,15305,46944,High Impact
181,Thirumayam,DMK,ADMK,1382,227883,213109,14774,53852,High Impact
49,Jolarpet,DMK,ADMK,1091,240869,226693,14176,44511,High Impact
178,Gandarvakkottai,CPI(M),ADMK,12721,201607,188047,13560,43987,High Impact
148,Kunnam,DMK,ADMK,6329,273526,260376,13150,53647,High Impact
149,Ariyalur,DMK,ADMK,3234,264971,252333,12638,39746,High Impact
150,Jayankondam,DMK,PMK,5452,266741,254189,12552,50373,High Impact
154,Panruti,DMK,ADMK,4697,245530,233247,12283,48481,High Impact
75,Vikravandi,DMK,ADMK,9573,234841,222796,12045,41224,High Impact
170,Thiruvidaimarudur,DMK,ADMK,10680,259518,248012,11506,61072,High Impact
109,Gudalur,ADMK,DMK,1945,189221,177800,11421,50964,High Impact
53,Krishnagiri,ADMK,DMK,794,268189,257501,10688,56541,High Impact
77,Ulundurpettai,DMK,ADMK,5256,293464,287413,6051,48611,High Impact
